Date_wise,Flight_No,Airlines_Name,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_estimated,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_estimated,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
04-07-2022,6E 797,Singapore Airlines,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,07:30 IST,07:27 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:45 IST,08:35 IST,,Arrived,On time,,1h 8m,283 mi,32N,Airbus A320neo
04-07-2022,6E 6463,IndiGo,TRV,Thiruvananthapuram,Trivandrum International Airport,04-07-2022,07:40 IST,07:50 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:45 IST,09:14 IST,1,Arrived,Delayed,29m,1h 24m,331 mi,32N,Airbus A320neo
04-07-2022,UK 898,Vistara,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,07:00 IST,06:51 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:50 IST,08:59 IST,,Arrived,On time,,2h 8m,518 mi,,
04-07-2022,SQ 4804,Singapore Airlines,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,07:00 IST,06:51 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:50 IST,08:59 IST,,Arrived,On time,,2h 8m,518 mi,32N,Airbus A320neo
04-07-2022,6E 6501,Emirates,DXB,Dubai,Dubai Airport,04-07-2022,03:20 +04,03:44 +04,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:55 IST,09:12 IST,1,Arrived,Delayed,17m,3h 58m,1675 mi,77W,Boeing 777-300ER
04-07-2022,SG 8191,SpiceJet,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:05 IST,06:00 IST,1D,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:55 IST,09:05 IST,,Arrived,On time,,3h 5m,1062 mi,73H,Boeing 737-800 (winglets) Passenger/BBJ2
04-07-2022,UK 851,Air India,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:10 IST,06:12 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,08:55 IST,08:44 IST,,Arrived,On time,,2h 32m,1062 mi,32N,Airbus A320neo
04-07-2022,SQ 4819,Vistara,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:15 IST,06:08 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:00 IST,09:02 IST,,Arrived,On time,,2h 54m,1062 mi,,
04-07-2022,EK 564,Air Canada,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:15 IST,06:08 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:00 IST,09:02 IST,,Arrived,On time,,2h 54m,1062 mi,,
04-07-2022,SG 191,Singapore Airlines,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:15 IST,06:08 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:00 IST,09:02 IST,,Arrived,On time,,2h 54m,1062 mi,,
04-07-2022,AI 803,IndiGo,VTZ,Vishakhapatnam,Vishakhapatnam Airport,04-07-2022,07:40 IST,07:36 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:10 IST,09:27 IST,1,Arrived,Delayed,17m,1h 51m,482 mi,32N,Airbus A320neo
04-07-2022,UK 811,IndiGo,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,04-07-2022,06:45 IST,06:40 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:15 IST,09:12 IST,1,Arrived,On time,,2h 32m,960 mi,32N,Airbus A320neo
04-07-2022,AC 2930,IndiGo,CJB,Coimbatore,Coimbatore International Airport,04-07-2022,08:20 IST,08:13 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:15 IST,09:22 IST,1,Arrived,On time,,1h 9m,157 mi,32N,Airbus A320neo
04-07-2022,SQ 4719,IndiGo,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,07:35 IST,07:30 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:20 IST,09:30 IST,1,Arrived,On time,,2h,518 mi,,
04-07-2022,6E 287,Turkish Airlines,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,07:35 IST,07:30 IST,2,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:20 IST,09:30 IST,1,Arrived,On time,,2h,518 mi,32N,Airbus A320neo
04-07-2022,6E 496,IndiGo,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,08:15 IST,08:09 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:30 IST,09:30 IST,1,Arrived,On time,,1h 21m,283 mi,32N,Airbus A320neo
04-07-2022,6E 475,IndiGo,GOI,Goa,Dabolim Airport,04-07-2022,08:15 IST,08:18 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:30 IST,09:34 IST,1,Arrived,On time,,1h 16m,300 mi,32N,Airbus A320neo
04-07-2022,6E 6293,Vistara,CJB,Coimbatore,Coimbatore International Airport,04-07-2022,08:35 IST,08:06 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:30 IST,09:06 IST,,Arrived,On time,,1h,157 mi,,
04-07-2022,TK 4721,Singapore Airlines,CJB,Coimbatore,Coimbatore International Airport,04-07-2022,08:35 IST,08:06 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:30 IST,09:06 IST,,Arrived,On time,,1h,157 mi,32N,Airbus A320neo
04-07-2022,6E 391,Go First,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,08:25 IST,09:13 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:40 IST,10:30 IST,,Arrived,Delayed,50m,1h 17m,283 mi,,
04-07-2022,SG 3615,FlexFlight,HYD,Hyderabad,Rajiv Gandhi International Airport,04-07-2022,08:25 IST,09:13 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:40 IST,10:30 IST,,Arrived,Delayed,50m,1h 17m,283 mi,32N,Airbus A320neo
04-07-2022,SG 3720,IndiGo,IXC,Chandigarh,Chandigarh Airport,04-07-2022,06:50 IST,06:38 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:45 IST,09:44 IST,1,Arrived,On time,,3h 6m,1209 mi,32Q,Airbus A321neo
04-07-2022,6E 151,IndiGo,BBI,Bhubaneswar,Biju Patnaik International Airport,04-07-2022,07:55 IST,07:48 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:45 IST,09:54 IST,1,Arrived,On time,,2h 6m,724 mi,32A,Airbus A320 (sharklets)
04-07-2022,6E 921,IndiGo,DEL,Delhi,Indira Gandhi International Airport,04-07-2022,06:55 IST,06:57 IST,3,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,09:50 IST,09:49 IST,1,Arrived,On time,,2h 52m,1062 mi,32N,Airbus A320neo
04-07-2022,UK 512,IndiGo,AMD,Ahmedabad,Ahmedabad Airport,04-07-2022,07:40 IST,07:40 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:00 IST,10:01 IST,1,Arrived,On time,,2h 21m,759 mi,32N,Airbus A320neo
04-07-2022,SQ 4892,IndiGo,IXR,Ranchi,Birsa Munda Airport,04-07-2022,07:55 IST,07:49 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:10 IST,10:06 IST,1,Arrived,On time,,2h 17m,859 mi,32Q,Airbus A321neo
04-07-2022,G8 545,IndiGo,IXM,Madurai,Madurai Airport,04-07-2022,08:45 IST,09:01 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:10 IST,10:22 IST,1,Arrived,On time,,1h 21m,234 mi,AT7,ATR 72
04-07-2022,W2 8796,IndiGo,BOM,Mumbai,Chhatrapati Shivaji International Airport,04-07-2022,08:30 IST,08:32 IST,1,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:15 IST,10:18 IST,1,Arrived,On time,,1h 46m,518 mi,32Q,Airbus A321neo
04-07-2022,6E 849,IndiGo,NAG,Nagpur,Dr. Babasaheb Ambedkar International Airport,04-07-2022,08:35 IST,08:23 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:15 IST,10:03 IST,1,Arrived,On time,,1h 40m,552 mi,32N,Airbus A320neo
04-07-2022,6E 393,IndiGo,VGA,Vijayawada,Vijayawada Airport,04-07-2022,08:45 IST,08:34 IST,,BLR,Bengaluru,Kempegowda International Airport,04-07-2022,10:20 IST,10:10 IST,1,Arrived,On time,,1h 36m,309 mi,AT7,ATR 72
